,Mea_x,Mea_y,Mea_Lv
G:45,0.2434375,0.716088,8.03296,
G:46,0.2433729,0.7161148,8.488027,
G:47,0.2433251,0.7161388,8.801414,
G:48,0.2432705,0.716055,9.263068,
G:49,0.2432222,0.716195,9.638685,
G:50,0.2431518,0.7162447,10.02095,
G:51,0.2431702,0.7161937,10.37942,
G:52,0.2431762,0.7163685,10.90973,
G:53,0.2430577,0.7163038,11.33382,
G:54,0.2430812,0.7163224,11.71531,
G:55,0.2430303,0.7163472,12.28525,
G:56,0.2429995,0.7163596,12.78664,
G:57,0.2429728,0.7163802,13.21313,
G:58,0.2429612,0.7163814,13.69327,
G:59,0.2428819,0.7163708,14.4146,
G:60,0.2429032,0.7164862,14.92336,
G:61,0.2428728,0.7165694,15.48632,
G:62,0.2428206,0.7164695,16.18245,
G:63,0.2428198,0.7165525,16.75701,
G:64,0.2428137,0.716592,17.23522,
G:65,0.2427655,0.7165704,17.64867,
G:66,0.2427689,0.716552,18.28444,
G:67,0.2427286,0.716549,18.94053,
G:68,0.242702,0.7165843,19.52173,
G:69,0.2427157,0.7165352,20.07512,
G:70,0.2427178,0.7166064,20.68489,
G:71,0.2426553,0.7166564,21.49461,
G:72,0.24265,0.7166113,22.05139,
G:73,0.2426355,0.7166436,22.65099,
G:74,0.2426207,0.7165686,23.26496,
G:75,0.2426258,0.7166876,24.23835,
G:76,0.2426165,0.7166916,24.93307,
G:77,0.2425933,0.7166715,25.58804,
G:78,0.242571,0.7166556,26.25324,
G:79,0.2425798,0.7166787,27.13808,
G:80,0.2425336,0.716665,27.86519,
G:81,0.2425594,0.7167509,28.52154,
G:82,0.2425514,0.7166961,29.16256,
G:83,0.2425532,0.7167109,29.7409,
G:84,0.2425322,0.7167197,30.69909,
G:85,0.2425135,0.7167071,31.61232,
G:86,0.242501,0.7167292,32.29947,
G:87,0.2425161,0.7166899,33.06636,
G:88,0.2425134,0.7167271,33.72873,
G:89,0.2425098,0.7167345,34.58117,
G:90,0.2424896,0.7166964,35.71868,
G:91,0.2425084,0.7167149,36.45776,
G:92,0.2424842,0.7167344,37.26864,
G:93,0.2424845,0.7167313,38.04516,
G:94,0.2424796,0.7167396,39.1029,
G:95,0.2424638,0.7167357,40.15487,
G:96,0.2424889,0.7172518,41.07759,
G:97,0.2424878,0.7172339,41.86065,
G:98,0.2424854,0.7172222,42.62756,
G:99,0.2424866,0.7171146,43.52839,
G:100,0.2424576,0.7171983,44.67792,
G:101,0.2424405,0.7171188,45.64962,
G:102,0.2424828,0.7171935,46.63725,
G:103,0.2424618,0.7171522,47.47063,
G:104,0.2424515,0.7171966,48.21808,
G:105,0.2424818,0.7171996,49.40857,
G:106,0.2424581,0.7170877,50.82981,
G:107,0.2424328,0.7171239,51.73182,
G:108,0.2424516,0.7171255,52.52358,
G:109,0.2424504,0.7171152,53.59781,
G:110,0.2424569,0.7171178,54.52097,
G:111,0.2424207,0.7170764,55.88313,
G:112,0.2424374,0.717063,57.17799,
G:113,0.2424427,0.7170479,58.2473,
G:114,0.2424196,0.7170947,58.9819,
G:115,0.2424335,0.7171106,59.95963,
G:116,0.2424412,0.717042,60.75631,
G:117,0.2424482,0.7170253,61.67802,
G:118,0.2424678,0.7170267,62.96845,
G:119,0.2424128,0.7169961,63.98201,
G:120,0.2424406,0.7169841,64.98013,
G:121,0.2424488,0.7170112,66.03806,
G:122,0.2424217,0.7170493,66.94894,
G:123,0.2424303,0.7170278,68.20341,
G:124,0.2424491,0.7169821,70.07835,
G:125,0.2424259,0.717016,71.40713,
G:126,0.2424583,0.717042,72.54618,
G:127,0.2424367,0.7169998,73.41074,
G:128,0.2424553,0.7170026,74.68122,
G:129,0.2424522,0.7170147,75.79333,
G:130,0.2424592,0.7169794,77.8336,
G:131,0.2424616,0.7169619,79.32881,
G:132,0.2424395,0.7170021,80.54723,
G:133,0.2424456,0.7169564,81.73997,
G:134,0.2424339,0.7169753,83.0219,
G:135,0.2424411,0.7169278,84.17004,
G:136,0.2424452,0.7169211,85.92231,
G:137,0.2424547,0.7169115,87.87211,
G:138,0.2424543,0.7169363,89.24187,
G:139,0.2424565,0.7168967,90.59126,
G:140,0.2424625,0.7168893,91.96147,
G:141,0.2424608,0.716883,93.20661,
G:142,0.2424479,0.716908,95.00462,
G:143,0.2424604,0.7168844,96.96056,
G:144,0.2424731,0.7168759,98.35821,
G:145,0.2424532,0.716859,99.92902,
G:146,0.2424715,0.7168683,101.4249,
G:147,0.2424805,0.7168554,102.8673,
G:148,0.2424839,0.71685,104.2119,
G:149,0.2424796,0.7168463,105.9163,
G:150,0.2424867,0.7168351,107.6527,
G:151,0.2424833,0.716835,108.8795,
G:152,0.2424841,0.716866,110.2487,
G:153,0.2424781,0.7168329,111.5977,
G:154,0.2424731,0.7167836,113.0331,
G:155,0.2424814,0.7168276,114.0993,
G:156,0.2424961,0.7168224,115.6102,
G:157,0.2424915,0.7167844,117.6065,
G:158,0.2424909,0.7167619,119.5348,
G:159,0.2424889,0.7167432,121.0565,
G:160,0.2425034,0.7167673,122.6125,
G:161,0.2425012,0.7167522,124.0411,
G:162,0.2425077,0.7167528,125.3247,
G:163,0.2424938,0.7167825,126.545,
G:164,0.2425119,0.7167631,128.9066,
G:165,0.2425149,0.716726,130.9477,
G:166,0.242521,0.7167411,132.588,
G:167,0.2425314,0.7167599,134.02,
G:168,0.2425192,0.7167407,135.6586,
G:169,0.242524,0.716712,137.5532,
G:170,0.2425219,0.7166978,138.9573,
G:171,0.2425371,0.7167479,140.6822,
G:172,0.2425309,0.7166956,143.2566,
G:173,0.2425426,0.7166891,145.2975,
G:174,0.2425478,0.7167207,146.7587,
G:175,0.2425409,0.7166684,148.7758,
G:176,0.2425443,0.7166722,150.5102,
G:177,0.2425552,0.7166547,152.1411,
G:178,0.2425551,0.7166596,153.703,
G:179,0.2425472,0.7166867,155.8514,
G:180,0.2425634,0.7166454,158.5065,
G:181,0.2425591,0.7166469,160.4102,
G:182,0.2425531,0.7166473,162.1301,
G:183,0.2425679,0.7166419,163.8315,
G:184,0.2425739,0.7166321,165.6882,
G:185,0.2425789,0.7166166,167.2956,
G:186,0.242576,0.7166479,168.8478,
G:187,0.2425808,0.7166321,171.0977,
G:188,0.2425836,0.7166342,173.8745,
G:189,0.2425941,0.7166015,176.0155,
G:190,0.2425991,0.7166036,178.1351,
G:191,0.2425942,0.7166079,179.6524,
G:192,0.242601,0.7165932,181.8113,
G:193,0.2425971,0.7165769,183.5406,
G:194,0.2426068,0.7165655,185.1834,
G:195,0.2426122,0.716549,187.5978,
G:196,0.2426089,0.7165777,190.5682,
G:197,0.2426126,0.7165652,192.7422,
G:198,0.2426191,0.7165334,194.8419,
G:199,0.2426221,0.716557,196.6527,
G:200,0.2426263,0.7165339,198.8072,
G:201,0.2426294,0.7165337,200.4955,
G:202,0.2426267,0.7165447,202.3853,
G:203,0.2426222,0.7165393,204.5833,
G:204,0.2426443,0.7165319,207.5523,
G:205,0.2426456,0.7165251,210.35,
G:206,0.2426487,0.7165149,212.263,
G:207,0.2426563,0.7164972,214.523,
G:208,0.2426579,0.7165024,216.5385,
G:209,0.2426593,0.716493,218.8893,
G:210,0.242661,0.7165045,220.85,
G:211,0.2426681,0.7164834,223.6598,
G:212,0.242671,0.7164759,226.6405,
G:213,0.2426746,0.7164726,229.3361,
G:214,0.2426792,0.7164626,230.823,
G:215,0.2426796,0.7164779,233.6088,
G:216,0.2426913,0.7164569,235.7972,
G:217,0.2426858,0.7164538,238.1122,
G:218,0.2426889,0.7164503,240.1887,
G:219,0.2426983,0.7164271,244.2966,
G:220,0.2427073,0.7164539,248.3724,
G:221,0.2427058,0.7163951,251.1912,
G:222,0.2427148,0.7164164,253.7977,
G:223,0.2427258,0.716419,256.4943,
G:224,0.2427238,0.7163938,258.8306,
G:225,0.2427292,0.7163837,262.011,
G:226,0.2427357,0.7164152,265.1091,
G:227,0.242733,0.7163891,268.7346,
G:228,0.2427475,0.7163796,271.4217,
G:229,0.2427455,0.7163951,273.9299,
