Name,CMD,Para,R/W,D7,D6,D5,D4,D3,D2,D1,D0,Initial(Hex),Owner,Description
,,5,RW,DGC_G_V248[9:2],,,,,,,,F8,,
,,6,RW,DGC_G_V244[9:2],,,,,,,,F4,,
,,7,RW,DGC_G_V240[9:2],,,,,,,,F0,,
,,8,RW,DGC_G_V232[9:2],,,,,,,,E8,,
,,9,RW,DGC_G_V224[9:2],,,,,,,,E0,,
,,10,RW,DGC_G_V208[9:2],,,,,,,,D0,,
,,11,RW,DGC_G_V192[9:2],,,,,,,,C0,,
,,12,RW,DGC_G_V160[9:2],,,,,,,,A0,,
,,13,RW,DGC_G_V128[9:2],,,,,,,,80,,
,,14,RW,DGC_G_V127[9:2],,,,,,,,7F,,
,,15,RW,DGC_G_V95[9:2],,,,,,,,5F,,
,,16,RW,DGC_G_V63[9:2],,,,,,,,3F,,
,,17,RW,DGC_G_V47[9:2],,,,,,,,2F,,
,,18,RW,DGC_G_V31[9:2],,,,,,,,1F,,
,,19,RW,DGC_G_V23[9:2],,,,,,,,17,,
,,20,RW,DGC_G_V15[9:2],,,,,,,,0F,,
,,21,RW,DGC_G_V11[9:2],,,,,,,,0B,,
,,22,RW,DGC_G_V7[9:2],,,,,,,,7,,
,,23,RW,DGC_G_V5[9:2],,,,,,,,5,,
,,24,RW,DGC_G_V3[9:2],,,,,,,,3,,
,,25,RW,DGC_G_V1[9:2],,,,,,,,1,,
,,26,RW,DGC_G_V0[9:2],,,,,,,,0,,
DGC_B,E6,1,RW,DGC_B_V255[9:2],,,,,,,,FF,WL,
,,2,RW,DGC_B_V254[9:2],,,,,,,,FE,,
,,3,RW,DGC_B_V252[9:2],,,,,,,,FC,,
,,4,RW,DGC_B_V250[9:2],,,,,,,,FA,,
,,5,RW,DGC_B_V248[9:2],,,,,,,,F8,,
,,6,RW,DGC_B_V244[9:2],,,,,,,,F4,,
,,7,RW,DGC_B_V240[9:2],,,,,,,,F0,,
,,8,RW,DGC_B_V232[9:2],,,,,,,,E8,,
